title,release_date,director,cast
Intolerable Cruelty,2003,Joel Coen,"George Clooney, Catherine Zeta-Jones, Geoffrey Rush, Cedric the Entertainer, Edward Herrmann, Paul Adelstein, Richard Jenkins, Billy Bob Thornton, Julia Duffy"
Vicky Cristina Barcelona,2008,Woody Allen ,"Javier Bardem, Scarlett Johansson, Rebecca Hall, Penélope Cruz, Chris Messina, Patricia Clarkson, Kevin Dunn"
Casino Royale,,"Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish","David Niven, Terence Cooper, Joanna Pettet, Orson Welles, Deborah Kerr, John Huston, William Holden, Charles Boyer, Ursula Andress, Woody Allen, Peter Sellers, Barbara Bouchet"
This Is England,2006,Shane Meadows,"Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim, Vicky McClure, Joseph Gilgun, Rosamund Hanson"
"World Is Not Enough, The",1999,Michael Apted,"Pierce Brosnan, Sophie Marceau, Denise Richards, Robert Carlyle, Judi Dench, Robbie Coltrane, Samantha Bond, Desmond Llewelyn, John Cleese"
Star Trek: The Motion Picture (Director's Cut),2001,Robert Wise,"Stephen Collins, William Shatner, Leonard Nimoy, DeForest Kelley, Persis Khambatta"
"X-Files, The",1998,Rob Bowman,"David Duchovny, Gillian Anderson, Martin Landau, Blythe Danner, William B. Davis, Armin Mueller-Stahl, John Neville, Terry O'Quinn"
Dangerous Beauty,1998,Marshall Herskovitz,"Catherine McCormack, Rufus Sewell, Oliver Platt, Moira Kelly, Fred Ward, Jacqueline Bisset, Jeroen Krabbe, Joanna Cassidy"
Fool's Gold,2008,Andy Tennant,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena, Ewan Bremmer, Ray Winstone, Kevin Hart"
Manhattan,1979,Woody Allen,"Woody Allen, Diane Keaton, Michael Murphy, Mariel Hemingway, Meryl Streep, Anne Byrne, Karen Ludwig, Michael O'Donoghue"
Fever Pitch,2005,"Bobby Farrelly, Peter Farrelly","Drew Barrymore, Jimmy Fallon"
Changeling,2008,Clint Eastwood,"Angelina Jolie, John Malkovich, Michael Kelly, Jeffrey Donovan, Colm Feore, Gattlin Griffith, Devon Conti"
Saving Silverman,2001,Dennis Dugan,"Jason Biggs, Steve Zahn, Jack Black, Amanda Peet, R. Lee Ermey, Amanda Detmer, Neil Diamond"
"Importance of Being Earnest, The",2002,Oliver Parker,"Rupert Everett, Colin Firth, Reese Witherspoon, Judi Dench, Frances O'Connor, Tom Wilkinson, Anna Massey"
Blast from the Past,1999,Hugh Wilson,"Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek, Dave Foley, Scott Thomson"
Crash,1997,David Cronenberg,"James Spader, Holly Hunter, Elias Koteas, Deborah Kara Unger, Rosanna Arquette"
In Bruges,2008,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ralph Fiennes, Clémence Poésy, Jordan Prentice, Thekla Reuten"
Pulse,2006,Jim Sonzero,"Kristen Bell, Ian Somerhalder, Christina Milian, Rick Gonzalez, Jonathan Tucker"
Confetti,2006,Debbie Isitt,"Martin Freeman, Jessica Stevenson, Stephen Mangan, Meredith MacNeill, Robert Webb, Olivia Colman, Vincent Franklin, Jason Watkins, Felicity Montagu"
Death Race,2008,Paul W.S. Anderson,"Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson, Natalie Martinez, Max Ryan"
Paradise Lost: The Child Murders at Robin Hood Hills,,Joe Berlinger and Bruce Sinofsky,"Jessie Misskelly, Damien Echols, Jason Baldwin"
Grosse Pointe Blank,1997,George Armitage,"John Cusack, Minnie Driver, Dan Aykroyd, Joan Cusack, Alan Arkin, Jeremy Piven, Hank Azaria, Mitchell Ryan"
"Lion King, The",1994,Rob Minkoff and Roger Allers ,"(voices) Jeremy Irons, James Earl Jones, Matthew Broderick, Whoopi Goldberg, Moira Kelly, Robert Guillaume, Cheech Marin, Rowan Atkinson, and Jonathan Taylor Thomas"
Halloween,1978,John Carpenter,"Jamie Lee Curtis, Donald Pleasance, Nancy Loomis, P.J. Soles, Charles Cyphers, Nick Castle"
Georgia Rule,2007,Garry Marshall,"Jane Fonda, Lindsay Lohan, Felicity Huffman, Dermot Mulroney, Cary Elwes, Garrett Hedlund"
RV,2006,Barry Sonnenfeld,"Robin Williams, Cheryl Hines, Joanna 'JoJo' Levescue, Josh Hutcherson, Jeff Daniels, Kristin Chenoweth"
Death of a President,2006,Gabriel Range,"Hend Ayoub, Brian Boland, Becky Ann Baker, Robert Mangiardi, Jay Patterson, Jay Whittaker, Michael Reilly Burke, James Urbaniak"
Serenity,2005,Joss Whedon,"Nathan Fillion, Ron Glass, Summer Glau, Sean Maher, Jewel Staite, Adam Baldwin, Morena Baccarin, Alan Tudyk, Gina Torres, Chiwetel Ejiofor"
Nothing Like the Holidays,2008,Alfredo De Villa,"Alfred Molina, Elizabeth Peña, Freddy Rodriguez, Luis Guzman, Jay Hernandez, John Leguizamo, Debra Messing, Vanessa Ferlito, Melonie Diaz"
Super Size Me,2004,Morgan Spurlock,Morgan Spurlock
"O Brother, Where Art Thou?",2000,Joel Coen,"George Clooney, John Turturro, Tim Blake Nelson, Charles Durning, John Goodman, Michael Badalucco, Holly Hunter"
Little Shop of Horrors,1986,Frank Oz,"Rick Moranis, Ellen Greene, Vincent Gardenia, Steve Martin, Tichina Arnold, Michelle Weeks, Tisha Campbell, Levi Stubbs (voice)"
Alien 3,1992,David Fincher,"Sigourney Weaver, Charles Dutton, Charles Dance, Paul McGann, Brian Glover, Ralph Brown, Danny Webb, Lance Henriksen"
Mad Max,,George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley, Vince Gil"
"Illusionist, The",2006,Neil Burger,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewel"
"Sisterhood of the Traveling Pants, The",2005,Ken Kwapis,"Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively, Jenna Boyd, Bradley Whitford, Nancy Travis, Rachel Ticotin"
"Day the Earth Stood Still, The",2008,Scott Derrickson,"Keanu Reeves, Jennifer Connelly, Jaden Smith, Kathy Bates, John Cleese, Jon Hamm"
Twister,1996,Jan De Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz, Lois Smith, Alan Ruck, Philip Seymour Hoffman"
Three Colors: White,,Krzysztof Kieslowski,"Julie Delpy, Zbigniew Zamachowski, Janusz Gajos, Jerzy Stuhr"
Deja Vu,2006,Tony Scott,"Denzel Washington, Paula Patton, Val Kilmer, James Caviezel, Adam Goldberg, Bruce Greenwood"
Australia,2008,Baz Luhrmann,"Hugh Jackman, Nicole Kidman, Bryan Brown, Brandon Walters, David Wenham"
Bulworth,1998,Warren Beatty,"Warren Beatty, Halle Berry, Oliver Platt, Don Cheadle, Paul Sorvino, Jack Warden"
"Truth about Cats and Dogs, The",1996,Michael Lehmann,"Janeane Garofalo, Uma Thurman, Ben Chaplin"
Jawbreaker,1999,Darren Stein,"Rose McGowan, Rebecca Gayheart, Julie Benz, Judy Greer, Chad Christ, Ethan Erickson, Charlotte Roldan, Pam Grier"
Open Your Eyes,1999,Alejandro Amenabar,"Eduardo Noriega, Penelope Cruz, Chete Lera, Fele Martinez, Gerard Barray, Najwa Nimri"
Antz,1998,"Eric Darnell, Tim Johnson","(voices) Woody Allen, Sharon Stone, Gene Hackman, Sylvester Stallone, Anne Bancroft, Christopher Walken, Jennifer Lopez, Danny Glover, Dan Aykroyd"
Three Colors: Red,1994,Krzysztof Kieslowski,"Irene Jacob, Jean-Louis Trintignant, Frederique Feder, Jean-Pierre Lorit"
Hitman: Agent 47,2015,Aleksander Bach,"Rupert Friend, Hannah Ware, Zachary Quinto, Ciaran Hinds"
American Ultra,2015,Nima Nourizadeh,"Kristen Stewart, Jesse Eisenberg, Topher Grace, Connie Britton, John Leguizamo, Bill Pullman, Walton Goggins"
"Man from U.N.C.L.E., The",2015,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki, Luca Calvani, Hugh Grant"
"Gift, The",2015,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton"
Fantastic Four,2015,Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell, Toby Kebbell, Reg E. Cathey"
Ricki and the Flash,2015,Jonathan Demme,"Meryl Streep, Kevin Kline, Maime Gummer, Rick Springfield, Sebastian Stan, Nick Westrate, Audra McDonald"
Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,"Tom Cruise, Simon Pegg, Rebecca Ferguson, Jeremy Renner, Alec Baldwin, Ving Rhames, Sean Harris"
Vacation,2015,Jonathan M. Goldstein &amp; John Francis Daley,"Ed Helms, Christina Applegate, Skyler Gisondo, Steel Stebbins, Leslie Mann, Chris Hemsworth, Chevy Chase, Beverly D'Angelo, Catherine Missal, Charlie Day"
Southpaw,2015,Antoine Fuqua,"Jake Gyllenhaal, Forest Whitaker, Rachel McAdams, Oona Laurence, 50 Cent, Naomie Harris"
Pixels,2015,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage, Josh Gad, Brian Cox, Sean Bean"
"Snapper, The",1993,Stephen Frears,"Colm Meaney, Tina Kellegher, Ruth McCabe, Fionnuala Murphy"
"Hunchback of Notre Dame, The",1996,Gary Trousdale and Kirk Wise,"(voices) Tom Hulce, Tony Jay, Demi Moore, Kevin Kline, Paul Kendall, Jason Alexander"
Titus,1999,Julie Taymor,"Anthony Hopkins, Matthew Rhys, Angus MacFadyen, Harry J. Lennix, Laura Fraser, James Frain, Colm Feore, Alan Cumming, Jessica Lange, Jonathan Rhys-Meyers"
Halloween,2007,Rob Zombie,"Malcolm McDowell, Brad Dourif, Tyler Mane, Sheri Moon Zombie, William Forsythe, Scout Taylor-Compton, Danielle Harris"
"Pink Panther, The",2006,Shawn Levy,"Steve Martin, Kevin Kline, Beyoncé Knowles, Jean Reno, Emily Mortimer, Henry Czerny"
"Holiday, The",2006,Nancy Meyers,"Cameron Diaz, Kate Winslet, Jude Law, Jack Black, Eli Wallach, Edward Burns, Rufus Sewell"
War,2007,Philip G. Atwell,"Jet Li, Jason Statham, John Lone, Devon Aoki, Luis Guzman, Ryo Ishibashi"
Naked,,Mike Leigh,"David Thewlis, Lesley Sharp, Katrin Cartlidge, Greg Cruttwell, Claire Skinner, Peter Wight"
Bridget Jones' Diary,2001,Sharon Maguire,"Renee Zellweger, Colin Firth, Hugh Grant, Jim Broadbent, Gemma Jones, Embeth Davidtz"
Outbreak,1995,Wolfgang Petersen,"Dustin Hoffman, Renee Russo, Morgan Freeman, Donald Sutherland, Cuba Gooding Jr., Patrick Dempsey, Kevin Spacey"
John Dies at the End,2013,Don Coscarelli,"Chase Williamson, Rob Mayes, Paul Giamatti, Clancy Brown, Glynn Turman, Doug Jones, Fabianne Therese"
Mama,2013,Andres Muschietti,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nelisse, Daniel Kash"
Broken City,2013,Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright, Barry Pepper, Alona Tal, Natalie Martinez, Kyle Chandler"
"Last Stand, The",2013,Jee-woon Kim,"Arnold Schwarzenegger, Forest Whitaker, Eduardo Noriega, Peter Stormare, Johnny Knoxville, Jaimie Alexander, Luis Guzman, Genesis Rodriguez"
Gangster Squad,2013,Ruben Fleischer,"Josh Brolin, Nick Nolte, Emma Stone, Giovanni Ribisi, Michael Pena, Robert Patrick, Anthony Mackie, Ryan Goslin, Sean Penn, Mireille Enos"
Quartet,2013,Dustin Hoffman,"Maggie Smith, Tom Courtenay, Pauline Collins, Billy Connolly, Michael Gambon, Luke Newberry, Sheridan Smith"
Rust and Bone,2012,Jacques Audiard,"Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Celine Sallette, Corinne Masiero"
Promised Land,2012,Gus Van Sant,"Matt Damon, John Krasinski, Frances McDormand, Rosemarie DeWitt, Hal Holbrook"
Amour,2012,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert"
Django Unchained,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson, Kerry Washington, Don Johnson"
"Motorcycle Diaries, The",2004,Walter Salles,"Gael Garcia Bernal, Rodrigo De la Serna, Mia Maestro, Jorge Chiarella"
Deep Rising,1998,Stephen Sommers,"Treat Williams, Famke Janssen, Wes Studi, Kevin J. O'Connor, Anthony Heald"
Dadetown,,Russ Hexter,"Bill Garrison, David Phelps, Jim Pryor, Jonathan Shafer, Stephen Beals"
Juno,2007,Jason Reitman,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman, Allison Janney, J.K. Simmons, Olivia Thirlby"
Hotel Rwanda,2004,Terry George,"Don Cheadle, Sophie Okonedo, Nick Nolte, Joaquin Phoenix"
White Noise,2005,Geoffrey Sax,"Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice"
"Great Raid, The",2005,John Dahl,"Benjamin Bratt, James Franco, Joseph Fiennes, Marton Csokas, Connie Nielsen"
Che,2009,Steven Soderbergh,"Benicio Del Toro, Demian Bichir, Rodrigo Santoro, Catalina Sandino Moreno, Franka Potente, Joaquim de Almeida"
Hard Rain,1998,Mikael Salomon,"Cristian Slater, Henry Sears, Betty White, Richard Dysart, Mark Rolston, Edward Asner, Minnie Driver, Randy Quaid, Morgan Freeman, Wayne Duvall"
Unmade Beds,1997,Nicholas Barker,"Brenda Monte, Michael De Stephano, Aimee Copp, Mikey Russo"
Good People,2014,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Sam Spruell, Omar Sy, Anna Friel"
Hector and the Search for Happiness,2014,Peter Chelsom,"Simon Pegg, Rosamund Pike, Stellan Skarsgard, Ming Zhao, Barry Atsma, Jean Reno, Toni Collette, Christopher Plummer"
"Walk Among the Tombstones, A",2014,Scott Frank,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook, Adam David Thompson, Brian Bradley"
This Is Where I Leave You,2014,Shawn Levy,"Jason Bateman, Dax Shepard, Timothy Olyphant, Abigail Spencer, Connie Britton, Rose Byrne, Kathryn Hahn, Corey Stoll, Adam Driver, Jane Fonda, Tina Fey, Debra Monk"
"Maze Runner, The",2014,Wes Ball,"Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper, Thomas Brodie-Sangster, Will Poulter, Kayla Scodelario"
"Disappearance of Eleanor Rigby, The",2014,Ned Benson,"James McAvoy, Jessica Chastain, Viola Davis, Bill Hader, Ciaran Hinds, Isabelle Huppert, William Hurt, Jess Weixler, Nina Arianda"
"Drop, The",2014,Michael R. Roskam,"Tom Hardy, Noomi Rapace, James Gandolfini, Matthias Schoenaerts"
Forrest Gump,1994,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field"
"November Man, The",2014,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich, Amila Terzimehic, Lazar Ristovski, Will Patton"
Sin City: A Dame to Kill For,2014,"Robert Rodriguez, Frank Miller","Mickey Rourke, Josh Brolin, Joseph Gordon-Levitt, Jessica Alba, Eva Green, Rosario Dawson, Powers Boothe, Dennis Haysbert, Christopher Meloni"
Network,,Sidney Lumet,"William Holden, Faye Dunaway, Peter Finch, Robert Duvall, William Prince, Arthur Burghardt, Beatrice Straight, Ned Beatty"
Stalingrad,,Joseph Vilsmaier,"Thomas Kretschmann, Dominique Horwitz, Jochen Nickel, Sebastian Rudolph, Dana Vavrova"
Can't Hardly Wait,1998,Deborah Kaplan &amp; Harry Elfont,"Ethan Embry, Jennifer Love Hewitt, Peter Facinelli, Charlie Korsmo, Seth Green, Lauren Ambrose, Jerry O'Connell, Melissa Joan Hart, Jenna Elfman"
"Best Man, The",1999,Malcolm D. Lee,"Taye Diggs, Nia Long, Morris Chestnut, Harold Perrineau Jr., Terrence Dashon Howard, Sanaa Lathan, Monica Calhoun, Melissa DeSousa"
"Umbrellas of Cherbourg, The",,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel, Ellen Farner, Mireille Perrey"
Magnolia,1999,Paul Thomas Anderson,"Jason Robards, Philip Baker Hall, Tom Cruise, John C. Reilly, Melora Walters, Julianne Moore, William H. Macy, Philip Seymour Hoffman, Jeremy Blackman, Melinda Dillon"
Moonraker,,Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel, Corine Clery, Bernard Lee, Desmond Llewelyn, Lois Maxwell"
Flushed Away,2006,"David Bowers, Sam Fell","(voices) Hugh Jackman, Kate Winslet, Ian McKellan, Andy Serkis, Bill Nighy, Jean Reno, Shane Richie"
WALL-E,2008,Andew Stanton,"(voices) Ben Burtt, Elissa Knight, Jeff Garlin, John Ratzenberger, Kathy Najimy, Sigourney Weaver, Fred Willard"
Wendy and Lucy,2008,Kelly Reichardt,"Michelle Williams, Wally Dalton, Will Patton"
"Descendants, The",2011,Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause, Robert Forster, Matthew Lillard, Judy Greer, Patricia Hastie, Beau Bridges"
Into the Abyss,2011,Werner Herzog,"Jason Burkett, Michael Perry, Fred Allen"
Immortals,2011,Tarsem Singh,"Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto, Luke Evans, John Hurt"
J. Edgar,2011,Clint Eastwood,"Leonardo DiCaprio, Armie Hammer, Naomi Watts, Judi Dench"
Melancholia,2011,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Charlotte Rampling, John Hurt, Alexander Skarsgard, Stellan Skarsgard"
A Very Harold &amp; Kumar 3D Christmas,2011,Todd Strauss-Schulson,"Kal Penn, John Cho, Paula Garces, Danny Trejo, Tom Lennon, Amir Blumenfeld, Neil Patrick Harris, Elias Koteas"
Tower Heist,2011,Brett Ratner,"Ben Stiller, Judd Hirsch, Stephen McKinley Henderson, Michael Pena, Tea Leoni, Matthew Broderick, Alan Alda, Casey Affleck, Eddie Murphy, Gabouney Sidibe"
Like Crazy,2011,Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead"
Sleeping Beauty,2011,Julia Leigh,"Emily Browning, Rachael Blake, Ewen Leslie"
Anonymous,2011,Roland Emmerich,"Rhys Ifans, Joely Richardson, Jamie Campbell Bower, Sam Reid, Xavier Samuel, Edward Hogg, David Thewlis, Rafe Spall, Sebastian Armesto, Vanessa Redgrave, Derek Jacobi"
Fired Up!,2009,Will Gluck,"Nicholas D'Agosto, Eric Christian Olsen, Sarah Roemer, Molly Sims, David Walton, Philip Baker Hall, John Michael Higgins"
"Shining, The",1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
"Class, The (Entre les murs)",2009,Laurent Cantet,"François Bégaudeau, Franck Keita, Esmeralda Ouertani, Rachel Régulier, Boubacar Touré, Wey Huang, Henriette Kasaruhanda"
Confessions of a Shopaholic,2009,P.J. Hogan,"Isla Fisher, Hugh Dancy, Krysten Ritter, Joan Cusack, John Goodman, John Lithgow, Kristen Scott Thomas, Leslie Bibb, Fred Armisen"
"International, The",2009,Tom Tykwer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen"
Friday the 13th (1980),1980,Sean S. Cunningham,"Adrienne King, Jeannine Taylor, Robbi Morgan, Kevin Bacon, Harry Crosby, Laurie Bartram, Mark Nelson, Peter Brouwer, Betsy Palmer"
Friday the 13th (2009),2009,Marcus Nispel,"Jared Padalecki, Ryan Hansen, Arlen Escarpeta, Julianna Guill, Derek Mears, Aaron Yoo, Travis Van Winkle, Amanda Righetti, Danielle Panabaker, Willa Ford"
Coraline,2009,Henry Selick,"(voices) Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Keith David, John Hodgman, Robert Bailey Jr., Ian McShane"
"Pink Panther 2, The",2009,Harald Zwart,"Steve Martin, Lily Tomlin, John Cleese, Aishwarya Rai Bachchan, Yuki Matsuzaki, Alfred Molina, Andy Garcia, Emily Mortimer, Jean Reno, Jeremy Irons"
Push,2009,Paul McGuigan ,"Chris Evans, Dakota Fanning, Camilla Belle, Djimon Hounsou, Neil Jackson, Cliff Curtis, Ming-Na, Nate Mooney"
Star Wars: Attack of the Clones,,George Lucas,"Ewan McGregor, Hayden Christensen, Natalie Portman, Ian McDiarmid, Christopher Lee, Samuel L. Jackson, Frank Oz, Temuera Morrison, Jimmy Smits"
Goosebumps,2015,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee, Amy Ryan, Jillian Bell"
Crimson Peak,2015,Guillermo del Toro,"Mia Wasikowska, Tom Hiddleston, Jessica Chastain, Charlie Hunnam"
Steve Jobs,2015,Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels, Sarah Snook, Katherine Waterston, Michael Stuhlberg"
Bridge of Spies,2015,Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan, Austin Stowell, Sebastian Koch"
Pan,2015,Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara, Adeel Akhtar, Amanda Seyfried"
"Walk, The",2015,Robert Zemeckis,"Joseph Gordon-Levitt, Charlotte Le Bon, Ben Kingsley, Clément Sibony, Cesar Domboy, Steve Valentine, James Badge Dale"
"Martian, The",2015,Ridley Scott,"Matt Damon, Kristin Wiig, Chiwetel Ejiofor, Jeff Daniels, Aksel Hennie, Sebastian Stan, Kate Mara, Michael Pena, Jessica Chastain, Sean Bean"
Sicario,2015,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Daniel Kaluuya"
"Intern, The",2015,Nancy Meyers,"Robert DeNiro, Anne Hathaway, Rene Russo, Nat Wolff, Adam Devine, Anders Holm, Zack Pearlman"
"Raid, The: Redemption",2012,Gareth Evans,"Iko Uwais, Joe Taslim, Doni Alamsya, Yayan Ruhian, Pierre Gruno, Ray Sahetapy, Tegar Satrya, Iang Darawan, Verdi Solaiman"
American Reunion,2012,"Jon Hurwitz, Hayden Schlossberg","Jason Biggs, Ali Cobrin, Jay Harrington, Katrina Bowden, Diana Ramirez, Jon Cho, Jennifer Coolidge, Eugene Levy, Tara Reid, Mena Suvari, Eddie Kaye Thomas, Seann William Scott, Thomas Ian Nichols, Chris Klein, Alyson Hannigan, Chuck Hittinger"
Wrath of the Titans,2012,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar Ramirez, Toby Kebbell, Rosamund Pike, Bill Nighy, Danny Huston, John Bell"
Mirror Mirror,2012,Tarsem Singh ,"Julia Roberts, Martin Klebba, Sebastian Saraceno, Danny Woodburn, Joe Gnoffo, Mark Povinelli, Jordan Prentice, Nathan Lane, Armie Hammer, Lily Collins, Ronald Lee Clark"
Intruders,2012,Juan Carlos Fresnadillo,"Clive Owen, Carice van Houten, Daniel Bruhl, Ella Purnell, Pilar Lopez de Ayala, Izan Corchero"
Bully,2012,Lee Hirsch,"Alex Libby, Kelby Johnson, Ja'Meya Jackson, David &amp; Tina Long, Kirk &amp; Laura Smalley"
"Hunger Games, The",2012,Gary Ross,"Jennifer Lawrence, Lennie Kravitz, Elizabeth Banks, Liam Hemsworth, Wes Bentley, Stanley Tucci, Donald Sutherland, Woody Harrelson, Josh Hutcherson, Willow Shields"
"Jeff, Who Lives at Home",2012,"Jay Duplass, Mark Duplass","Jason Segel, Ed Helms, Susan Sarandon, Judy Greer, Rae Dawn Chong"
Seeking Justice,2012,Roger Donaldson,"Nicolas Cage, January Jones, Guy Pearce, Jennifer Carpenter, Harold Perrineau"
21 Jump Street,2012,"Phil Lord, Chris Miller","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco, Rob Riggle, DeRay Davis, Ice Cube"
"Lego Batman Movie, The",2017,Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson, Zach Galifianakis, Ralph Fiennes"
"Space between Us, The",2017,Peter Chelsom,"Asa Butterfield, Britt Robertson, Gary Oldman, Carla Gugino"
Elle,2016,Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny, Charles Berling, Christian Berkel, Jonas Bloquet, Alice Isaaz"
